time,flow,salt,temp,TRC_tr1,TRC_age,NCS_ss1,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_grn,PHY_bga,PHY_diatom
2023-01-01 00:00:00,0.059,0.011935,20.493192,1,0,1.8,172.091944,123.724792,1.382447,1.83579,0.16129,0.016129,30.489953,152.979905,3.718237,9.239058,0.052748,0.065935,274.409573,8.675886,0.013187,15.297991,7.277419,7.277419,7.277419
2023-01-02 00:00:00,0.063,0.011936,20.50198,1,0,1.8,169.990464,123.724792,1.425249,1.678851,0.16129,0.016129,30.378985,152.757971,3.604099,9.039316,0.051029,0.063787,273.410868,8.409565,0.012757,15.275797,7.277419,7.277419,7.277419
2023-01-03 00:00:00,0.059,0.011936,20.510769,1,0,1.8,167.888984,123.724792,1.46805,1.521911,0.16129,0.016129,30.268018,152.536036,3.489961,8.839575,0.049311,0.061639,272.412162,8.143243,0.012328,15.253604,7.277419,7.277419,7.277419
2023-01-04 00:00:00,0.06,0.011937,20.519558,1,0,1.8,165.787505,123.724792,1.510852,1.364972,0.16129,0.016129,30.157051,152.314102,3.375824,8.639834,0.047593,0.059491,271.413457,7.876922,0.011898,15.23141,7.277419,7.277419,7.277419
2023-01-05 00:00:00,0.052,0.011937,20.528347,1,0,1.8,163.686025,89.251995,1.553653,1.208032,0.16129,0.016129,30.046084,152.092167,3.261686,8.440093,0.045875,0.057344,270.414752,7.6106,0.011469,15.209217,24.481231,24.481231,24.481231
2023-01-06 00:00:00,0.056,0.011939,20.440807,1,0,1.880835,164.060686,89.79806,1.590675,1.174934,0.16129,0.016129,30.037423,152.074847,3.214286,8.434128,0.042843,0.053554,270.336811,7.5,0.010711,15.207485,23.483843,23.483843,23.483843
2023-01-07 00:00:00,0.059,0.011942,20.284742,1,0,2.019082,166.196789,90.344126,1.623591,1.229794,0.16129,0.016129,30.101427,152.202854,3.214286,8.565792,0.038879,0.048599,270.912842,7.5,0.00972,15.220285,22.486454,22.486454,22.486454
2023-01-08 00:00:00,0.059,0.011945,20.128677,1,0,2.157329,168.332891,90.890191,1.656507,1.284655,0.16129,0.016129,30.16543,152.330861,3.214286,8.697457,0.034915,0.043644,271.488873,7.5,0.008729,15.233086,21.489066,21.489066,21.489066
2023-01-09 00:00:00,0.055,0.011948,19.972611,1,0,2.295577,170.468994,91.436257,1.689423,1.339515,0.16129,0.016129,30.229434,152.458867,3.214286,8.829121,0.030951,0.038689,272.064903,7.5,0.007738,15.245887,20.491677,20.491677,20.491677
2023-01-10 00:00:00,0.054,0.011951,19.816546,1,0,2.433824,172.605096,91.982322,1.722339,1.394375,0.16129,0.016129,30.293437,152.586874,3.214286,8.960785,0.026987,0.033734,272.640934,7.5,0.006747,15.258687,19.494289,19.494289,19.494289
